# Week 2 crawl of live Wikipedia, 2026-09-08. Edge A -> B when the article of A links to the article of B; both in data/week2_nodes.tsv. 602 nodes, 4082 edges.
source	target
Cable_(character)	Deadpool
Cable_(character)	Doctor_Nemesis
Cable_(character)	Hercules_(Marvel_Comics)
Cable_(character)	Jean_Grey
Cable_(character)	Mister_Sinister
Cable_(character)	Phoenix_Force
Cable_(character)	Rachel_Summers
Cable_(character)	Rusty_Collins
Cable_(character)	Shatterstar
Cable_(character)	Thunderbolt_Ross
Cable_(character)	Wolverine_(character)
Cammi_(character)	Blood_Brothers_(comics)
Cammi_(character)	Chase_Stein
Cammi_(character)	Darkhawk
Cammi_(character)	Lunatik
Cammi_(character)	Nova_(Richard_Rider)
Captain_Atlas	Blizzard_(Marvel_Comics)
Captain_Atlas	Firebrand_(Marvel_Comics)
Captain_Atlas	Korath_the_Pursuer
Captain_Atlas	Quasar_(character)
Captain_Atlas	Ronan_the_Accuser
Captain_Atlas	Whiplash_(Marvel_Comics)
Captain_Marvel_(Khn'nr)	Captain_Marvel_(Marvel_Comics)
Captain_Marvel_(Khn'nr)	Noh-Varr
Captain_Marvel_(Khn'nr)	Super-Skrull
Captain_Marvel_(Marvel_Comics)	Captain_Marvel_(Khn'nr)
Captain_Marvel_(Marvel_Comics)	Elsa_Bloodstone
Captain_Marvel_(Marvel_Comics)	Genis-Vell
Captain_Marvel_(Marvel_Comics)	Hank_Pym
Captain_Marvel_(Marvel_Comics)	Kismet_(Marvel_Comics)
Captain_Marvel_(Marvel_Comics)	Machine_Man
Captain_Marvel_(Marvel_Comics)	Moondragon
Captain_Marvel_(Marvel_Comics)	Ms._Marvel
Captain_Marvel_(Marvel_Comics)	Noh-Varr
Captain_Marvel_(Marvel_Comics)	Nova_(Richard_Rider)
Captain_Marvel_(Marvel_Comics)	Phyla-Vell
Captain_Marvel_(Marvel_Comics)	Quasar_(character)
Captain_Marvel_(Marvel_Comics)	Radioactive_Man_(comics)
Captain_Marvel_(Marvel_Comics)	Scarlet_Witch
Captain_Marvel_(Marvel_Comics)	Thanos
Captain_Marvel_(Marvel_Comics)	Ultron
Captain_Ultra	Doctor_Strange
Captain_Universe	Blastaar
Captain_Universe	Deadpool
Captain_Universe	Doctor_Druid
Captain_Universe	Doctor_Strange
Captain_Universe	Eddie_Brock
Captain_Universe	Gladiator_(Kallark)
Captain_Universe	Hulk
Captain_Universe	Jean_Grey
Captain_Universe	Living_Monolith
Captain_Universe	Nightmask
Captain_Universe	Psycho-Man
Captain_Universe	Quasar_(character)
Captain_Universe	Spider-Man
Captain_Universe	Spider-Man_Noir
Captain_Universe	Star-Lord
Captain_Universe	Starhawk_(character)
Captain_Universe	Venom_(character)
Caretaker_(comics)	Ghost_Rider
Caretaker_(comics)	Ghost_Rider_(Danny_Ketch)
Caretaker_(comics)	Ghost_Rider_(Johnny_Blaze)
Carrion_(comics)	Doppelganger_(Marvel_Comics)
Carrion_(comics)	Green_Goblin
Carrion_(comics)	Hyperion_(character)
Carrion_(comics)	Jackal_(Marvel_Comics_character)
Carrion_(comics)	Jason_Macendale
Carrion_(comics)	Shriek_(character)
Carrion_(comics)	Spider-Man
Ch'od	Deathbird
Ch'od	Jean_Grey
Ch'od	Ms._Marvel
Ch'od	Rocket_Raccoon
Champion_of_the_Universe	Deadpool
Champion_of_the_Universe	Hulk
Champion_of_the_Universe	She-Hulk
Champion_of_the_Universe	Thanos
Chase_Stein	Cammi_(character)
Chase_Stein	Darkhawk
Chase_Stein	Speed_(character)
Chase_Stein	Wolverine_(character)
Chondu_the_Mystic	Doctor_Strange
Chondu_the_Mystic	Mysterio
Chondu_the_Mystic	She-Hulk
Chondu_the_Mystic	Spider-Man
Cloak_and_Dagger_(characters)	Adam_Warlock
Cloak_and_Dagger_(characters)	Alex_Wilder
Cloak_and_Dagger_(characters)	Anole_(character)
Cloak_and_Dagger_(characters)	Answer_(comics)
Cloak_and_Dagger_(characters)	Anya_Corazon
Cloak_and_Dagger_(characters)	Beyonder
Cloak_and_Dagger_(characters)	Black_Cat_(Marvel_Comics)
Cloak_and_Dagger_(characters)	Black_Widow_(Natasha_Romanova)
Cloak_and_Dagger_(characters)	Chase_Stein
Cloak_and_Dagger_(characters)	Darkhawk
Cloak_and_Dagger_(characters)	Deathlok
Cloak_and_Dagger_(characters)	Doctor_Nemesis
Cloak_and_Dagger_(characters)	Doctor_Strange
Cloak_and_Dagger_(characters)	Eddie_Brock
Cloak_and_Dagger_(characters)	Emma_Frost
Cloak_and_Dagger_(characters)	Firebrand_(Marvel_Comics)
Cloak_and_Dagger_(characters)	Hank_Pym
Cloak_and_Dagger_(characters)	Hulk
Cloak_and_Dagger_(characters)	Hulkling
Cloak_and_Dagger_(characters)	Hydro-Man
Cloak_and_Dagger_(characters)	Iron_Fist_(character)
Cloak_and_Dagger_(characters)	Jester_(Marvel_Comics)
Cloak_and_Dagger_(characters)	Lightmaster
Cloak_and_Dagger_(characters)	Luke_Cage
Cloak_and_Dagger_(characters)	Mister_Negative
Cloak_and_Dagger_(characters)	Moon_Knight
Cloak_and_Dagger_(characters)	Morbius
Cloak_and_Dagger_(characters)	Nightwatch_(character)
