# Week 2 crawl of live Wikipedia, 2026-09-08. Heroes = the frozen week-1 roster, villains = Category:Marvel Comics supervillains (no redirects, lists, teams or disambiguation pages).
# side: hero | villain | both. debut_year from the infobox, blank when not found.
node_id	name	side	debut_year	url
Hangman_(Marvel_Comics)	Hangman (Marvel Comics)	villain	1973	https://en.wikipedia.org/wiki/Hangman_%28Marvel_Comics%29
Hank_Pym	Hank Pym	hero	1962	https://en.wikipedia.org/wiki/Hank_Pym
Happy_Sam_Sawyer	Happy Sam Sawyer	hero	1963	https://en.wikipedia.org/wiki/Happy_Sam_Sawyer
Harold_Meachum	Harold Meachum	villain	1974	https://en.wikipedia.org/wiki/Harold_Meachum
Hate-Monger	Hate-Monger	villain	1963	https://en.wikipedia.org/wiki/Hate-Monger
Hawkeye_(comics)	Hawkeye (comics)	hero		https://en.wikipedia.org/wiki/Hawkeye_%28comics%29
Headsman_(character)	Headsman (character)	villain	1996	https://en.wikipedia.org/wiki/Headsman_%28character%29
Helix_(Marvel_Comics)	Helix (Marvel Comics)	hero	1995	https://en.wikipedia.org/wiki/Helix_%28Marvel_Comics%29
Hellfire_(J._T._Slade)	Hellfire (J. T. Slade)	both	2008	https://en.wikipedia.org/wiki/Hellfire_%28J._T._Slade%29
Hellion_(character)	Hellion (character)	hero	2003	https://en.wikipedia.org/wiki/Hellion_%28character%29
Hercules_(Marvel_Comics)	Hercules (Marvel Comics)	hero	1943	https://en.wikipedia.org/wiki/Hercules_%28Marvel_Comics%29
Hippo_(character)	Hippo (character)	villain	2009	https://en.wikipedia.org/wiki/Hippo_%28character%29
Hit-Monkey	Hit-Monkey	hero	2010	https://en.wikipedia.org/wiki/Hit-Monkey
Hive_(character)	Hive (character)	villain	2009	https://en.wikipedia.org/wiki/Hive_%28character%29
Hobgoblin_(Marvel_Comics)	Hobgoblin (Marvel Comics)	villain	1983	https://en.wikipedia.org/wiki/Hobgoblin_%28Marvel_Comics%29
Hornet_(comics)	Hornet (comics)	hero	1979	https://en.wikipedia.org/wiki/Hornet_%28comics%29
Hrimhari	Hrimhari	hero	1985	https://en.wikipedia.org/wiki/Hrimhari
Hulk	Hulk	both	1962	https://en.wikipedia.org/wiki/Hulk
Hulk_2099	Hulk 2099	hero	1993	https://en.wikipedia.org/wiki/Hulk_2099
Hulkling	Hulkling	hero	2005	https://en.wikipedia.org/wiki/Hulkling
Human_Cannonball_(Marvel_Comics)	Human Cannonball (Marvel Comics)	villain	1962	https://en.wikipedia.org/wiki/Human_Cannonball_%28Marvel_Comics%29
Human_Fly_(character)	Human Fly (character)	both	1976	https://en.wikipedia.org/wiki/Human_Fly_%28character%29
Human_Torch	Human Torch	hero	1961	https://en.wikipedia.org/wiki/Human_Torch
Human_Torch_(android)	Human Torch (android)	hero	1939	https://en.wikipedia.org/wiki/Human_Torch_%28android%29
Humus_Sapien	Humus Sapien	villain	1973	https://en.wikipedia.org/wiki/Humus_Sapien
Hurricane_(comics)	Hurricane (comics)	villain		https://en.wikipedia.org/wiki/Hurricane_%28comics%29
Hybrid_(Scott_Washington)	Hybrid (Scott Washington)	hero	1992	https://en.wikipedia.org/wiki/Hybrid_%28Scott_Washington%29
Hydro-Man	Hydro-Man	villain	1981	https://en.wikipedia.org/wiki/Hydro-Man
Hyperion_(character)	Hyperion (character)	hero	1969	https://en.wikipedia.org/wiki/Hyperion_%28character%29
Hypno-Hustler	Hypno-Hustler	villain	1978	https://en.wikipedia.org/wiki/Hypno-Hustler
Ikaris	Ikaris	hero	1976	https://en.wikipedia.org/wiki/Ikaris
Illuminator_(Marvel_Comics)	Illuminator (Marvel Comics)	hero	1993	https://en.wikipedia.org/wiki/Illuminator_%28Marvel_Comics%29
In-Betweener	In-Betweener	villain	1975	https://en.wikipedia.org/wiki/In-Betweener
Inferno_(Dante_Pertuz)	Inferno (Dante Pertuz)	hero	2014	https://en.wikipedia.org/wiki/Inferno_%28Dante_Pertuz%29
Iron_Fist_(character)	Iron Fist (character)	hero	1974	https://en.wikipedia.org/wiki/Iron_Fist_%28character%29
Iron_Lad	Iron Lad	hero	2005	https://en.wikipedia.org/wiki/Iron_Lad
Iron_Man_(Ultimate_Marvel_character)	Iron Man (Ultimate Marvel character)	hero	2001	https://en.wikipedia.org/wiki/Iron_Man_%28Ultimate_Marvel_character%29
Iron_Man_2020	Iron Man 2020	both	1984	https://en.wikipedia.org/wiki/Iron_Man_2020
Iron_Monger	Iron Monger	villain	1982	https://en.wikipedia.org/wiki/Iron_Monger
Isaiah_Bradley	Isaiah Bradley	hero	2002	https://en.wikipedia.org/wiki/Isaiah_Bradley
Isbisa	Isbisa	villain	1946	https://en.wikipedia.org/wiki/Isbisa
Jack_Frost_(Marvel_Comics)	Jack Frost (Marvel Comics)	hero	1941	https://en.wikipedia.org/wiki/Jack_Frost_%28Marvel_Comics%29
Jack_Monroe_(character)	Jack Monroe (character)	hero	1953	https://en.wikipedia.org/wiki/Jack_Monroe_%28character%29
Jackal_(Marvel_Comics_character)	Jackal (Marvel Comics character)	villain	1965	https://en.wikipedia.org/wiki/Jackal_%28Marvel_Comics_character%29
